Date,Type,Tag,Sending Wallet,Sent Amount,Sent Currency,Sent Cost Basis,Receiving Wallet,Received Amount,Received Currency,Received Cost Basis,Fee Amount,Fee Currency,Gain (USD),Net Value (USD),Fee Value (USD),TxSrc,TxDest,TxHash,Description
2024-05-30 17:11:23 UTC,crypto_deposit,,,,,,Coinbase,2.000404728,SUI,2.04,,,,2.04,,,,DrHxLpkgFcH8uh9SRrUcxenBHqhDYizDWARnFp4yeeQt,
2024-05-30 18:31:02 UTC,crypto_deposit,,,,,,Binance US,2500,USDT,2500,,,,2500,,,TG849Ax9RWfApth71xZ1JAHVrYmSBAm5mF,cd038579d6ce7d94f76a5bdcb87d9066ef470205ed97dc7fdfd5523dfec16bf2,
2024-05-30 19:08:29 UTC,transfer,,Binance US,2485.614365,USDT,14.385635,Coinbase,2485.614365,USDT,,14.385635,USDT,-0.0026875389,2485.15,14.38294746,,,7af70ecb536a6e6907cf423a318c677bd685f2d3fd4205fc22010ca91f015df4,
2024-05-30 19:31:03 UTC,sell,,Coinbase,2485.62,USDT,2485.62,Coinbase,2485.14,USD,,0.02,USD,-0.4999999838,2485.14,0.02,,,3c461b21-f906-4dc0-819c-7598cf9b9033,advanced trade
2024-05-30 19:31:06 UTC,sell,,Coinbase,201.9,SUI,206.7128637,Coinbase,206.48,USD,,0.83,USD,-1.062863671,206.48,0.83,,,94fab58c-b282-48b2-be12-265503eeae7d,advanced trade
2024-05-30 19:31:39 UTC,fiat_withdrawal,,Coinbase,2690.78,USD,,,,,,,,,2690.78,,,,,
2024-05-31 11:45:36 UTC,crypto_withdrawal,Cost,Knox SOl,0.000015554,SOL,0.002617753,,,,,,,0.0000009728,0.0026187258,,,,4LoNHjcYDpuny5g8aGNLTtsiqodsoH8y7k1nH91yptmnySoYzTjS6DvfRHk3mYkqhedwWjSYLJp26TPWEDQynqyv,
2024-05-31 16:51:43 UTC,crypto_deposit,,,,,,Knox SOl,5.3202528,SOL,877.2174026,,,,877.2174026,,,,6mWEF3bqSZErLTdhEfLVv8soP8y6JwZCnQVXH35HTkjcHKnP2UJVZgVVNHrYbopf991c4KZgrMeWZC6WjLGhgZw,
2024-05-31 17:08:30 UTC,crypto_withdrawal,,Knox SOl,0.003593913,SOL,0.6048589864,,,,,,,-0.0094901186,0.5953688678,,,,5rFkpAMZ72431uELwfsjGU8aWWuGitPFwnFxZcj6mkWDuCNCoYVD99genr4GUG8X1qv9MZYoFe7v19Exnz1KTawy,
2024-05-31 17:08:30 UTC,crypto_withdrawal,,Knox SOl,1,FROG#2852,341.1322214,,,,,,,-0.0022214118,341.13,,,,5rFkpAMZ72431uELwfsjGU8aWWuGitPFwnFxZcj6mkWDuCNCoYVD99genr4GUG8X1qv9MZYoFe7v19Exnz1KTawy,
